thread_id,parent_thread_id,depth,agent_path,nickname,task_group,spawned_at,last_event_at,wall_span_seconds,turn_count,completed_turns,aborted_turns,incomplete_turns,active_seconds,models_and_responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd,log_bytes,log_lines
01a05315-9082-7900-a85b-a19aec449aa5,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_86cb5a5_ci,Hooke,orchestration-gates,2026-08-30T14:31:57.496000Z,2026-08-30T14:36:50.994000Z,293.498,2,2,0,0,288.022,gpt-5.6-luna/low:15,528397,495872,0,2624,291,531021,,1199647,100
01a05321-cd68-75d0-ba96-9112d8428a10,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_typed_context_firebase,Meitner,P1-10,2026-08-30T14:45:19.526000Z,2026-08-30T16:25:09.130000Z,5989.604,6,6,0,0,3197.68,gpt-5.6-terra/high:187,26954674,26418432,0,62512,15474,27017186,,8183530,1169
01a05332-864c-7650-ad66-2573d9a1f985,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_typed_context_firebase_review,Goodall,P1-10,2026-08-30T15:03:35.411000Z,2026-08-30T16:30:10.287000Z,5194.876,5,5,0,0,2375.248,gpt-5.6-sol/high:124,13022285,12649472,0,39045,16737,13061330,7.331941,5751893,792
01a0534a-6bb1-7090-8d9f-21c593b3c9c0,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_fixture_id_join_ci,Galileo,P1-10,2026-08-30T15:29:41.753000Z,2026-08-30T15:31:52.702000Z,130.949,1,1,0,0,130.691,gpt-5.6-luna/low:10,311792,288256,0,2575,338,314367,,502297,68
01a0534d-e87c-7903-b42d-bccb986de2b4,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_b0fd6b6_ci,Chandrasekhar,orchestration-gates,2026-08-30T15:33:30.096000Z,2026-08-30T15:37:49.804000Z,259.708,1,1,0,0,259.573,gpt-5.6-luna/low:13,407496,375552,0,2773,231,410269,,1095814,85
01a05364-b37f-7a82-b7c1-37d58d6012e9,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_typed_context_firebase_ci,Anscombe,P1-10,2026-08-30T15:58:23.773000Z,2026-08-30T15:59:42.760000Z,78.987,1,1,0,0,78.851,gpt-5.6-luna/low:7,165303,154880,0,1910,449,167213,,205586,52
01a05367-06fc-7e81-ae96-5411dfc5bd85,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_d515726_ci,Planck,orchestration-gates,2026-08-30T16:00:56.236000Z,2026-08-30T16:04:43.730000Z,227.494,1,1,0,0,227.375,gpt-5.6-luna/low:12,443702,408576,0,2230,240,445932,,1033431,76
01a05367-94b5-7a31-8559-268cc848521c,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_post_firebase_runtime_audit,Bacon,P1-10,2026-08-30T16:01:32.496000Z,2026-08-30T16:17:02.307000Z,929.811,1,1,0,0,929.697,gpt-5.6-sol/high:47,6593391,6319360,0,15309,5577,6608700,3.930048,5197250,364
01a05382-a65c-7181-99a6-906213904816,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_typed_context_firebase_fix_ci,Kant,P1-10,2026-08-30T16:31:06.565000Z,2026-08-30T16:32:00.975000Z,54.41,1,1,0,0,54.297,gpt-5.6-luna/low:5,111714,104192,0,1311,214,113025,,169979,40
01a05384-d4c0-7be3-8b81-1d2b1fb77f23,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_25fbb56_ci,Sagan,orchestration-gates,2026-08-30T16:33:29.424000Z,2026-08-30T16:37:45.626000Z,256.202,1,1,0,0,256.106,gpt-5.6-luna/low:12,315489,291840,0,2285,301,317774,,371651,78
